funding_total_usd,funding_rounds,founded_year,status_class,funding_total_category
1500000.0,1,2006,1,1
94000000.0,4,2002,1,1
18478604.03736397,1,2012,1,1
25000.0,2,2011,1,0
5800000.0,1,2012,1,1
15000000.0,3,2000,2,1
248250.0,2,2015,0,0
68839.0,1,2014,1,0
18478604.03736397,1,2012,1,1
14000000.0,2,2012,0,1
12100000.0,2,1999,1,1
15500000.0,3,2004,1,1
250000.0,1,2011,0,0
887303.0,1,2011,1,0
5906514.0,7,2012,1,1
3000000.0,1,1979,1,1
18478604.03736397,1,2012,1,1
4430000.0,1,2005,1,1
5460000.0,1,1984,1,1
25661688.0,7,2012,1,1
13000000.0,1,2006,1,1
19000.0,1,2012,0,0
4450000.0,2,2012,1,1
100000.0,1,2012,1,0
50000.0,1,2012,0,0
18478604.03736397,1,2012,1,1
1200000.0,1,2013,1,1
11200000.0,3,2001,1,1
1465000.0,2,2010,1,1
131750000.0,5,2008,1,2
1349142.0,1,2011,1,1
1530625.0,2,2012,1,1
18478604.03736397,1,2012,0,1
16000000.0,1,2006,2,1
22000000.0,2,2012,1,1
2000000.0,1,2013,1,1
809911.0,1,2011,1,0
48000.0,1,2013,1,0
41600000.0,4,2009,2,1
4000000.0,3,2011,1,1
800000.0,1,2012,1,0
18478604.03736397,1,2013,1,1
18478604.03736397,1,2012,1,1
250000000.0,3,2000,1,2
1000000.0,1,2014,1,0
300000.0,1,2006,0,0
400000.0,1,2013,0,0
200000.0,1,2012,0,0
17950000.0,6,2007,1,1
18478604.03736397,2,2008,1,1
3000000.0,1,2013,1,1
42450000.0,5,2001,1,1
42500005.0,2,2001,1,1
1600000.0,1,2012,1,1
481268.0,1,2012,1,0
40000000.0,1,2012,1,1
18478604.03736397,1,2012,1,1
290000.0,2,2009,1,0
18478604.03736397,1,2012,1,1
2000000.0,1,2010,1,1
1415000.0,2,2012,1,1
12000000.0,3,2001,1,1
18478604.03736397,1,1999,1,1
10000000.0,1,2009,1,1
4600000.0,1,2012,1,1
18478604.03736397,1,2007,2,1
1000000.0,2,2011,1,0
60000.0,1,2011,1,0
100000.0,1,2013,1,0
18478604.03736397,1,1983,1,1
51414039.0,5,2002,1,1
18478604.03736397,1,2012,1,1
687462.0,1,2010,1,0
80000.0,1,2012,1,0
13343716.0,8,2005,1,1
6700000.0,2,2007,1,1
415000.0,2,2007,2,0
18478604.03736397,1,2012,2,1
18478604.03736397,1,2012,1,1
3500000.0,1,2012,1,1
130748.0,1,2012,1,0
3700000.0,2,2011,1,1
25500000.0,2,2012,1,1
750000.0,1,2012,2,0
500000.0,1,2014,1,0
311203.0,1,2008,1,0
360000.0,1,2012,1,0
18478604.03736397,1,2009,1,1
45000.0,1,2013,1,0
300000.0,1,2013,1,0
5540000.0,3,2002,1,1
3000000000.0,3,2007,1,2
65885.0,2,2013,1,0
18478604.03736397,1,2012,1,1
20000.0,1,2011,1,0
969471.0,6,2012,1,0
210000.0,2,2009,1,0
31000000.0,1,2012,2,1
1100000.0,1,2014,1,1
600000.0,1,1995,1,0
41347.0,1,2008,1,0
18478604.03736397,1,2012,1,1
144400000.0,3,2006,1,2
637416.0,1,2007,1,0
1500000.0,1,2015,1,1
108000000.0,1,1991,2,2
25000000.0,3,2011,1,1
3000000.0,1,2012,1,1
18478604.03736397,2,2007,1,1
11000000.0,1,2004,1,1
811268.0,2,2009,1,0
2566676.0,1,2004,1,1
3000000.0,1,2012,1,1
984000.0,2,2012,2,0
1700000.0,1,2010,0,1
45400000.0,6,2006,2,1
235682.0,1,2012,1,0
18478604.03736397,1,2012,1,1
3000000.0,1,2012,1,1
350000.0,1,2014,1,0
20000.0,1,2012,1,0
20000000.0,2,2012,1,1
500000.0,1,2010,1,0
200000000.0,1,2012,0,2
2400000.0,3,2003,2,1
300000.0,1,2013,1,0
4500000.0,1,2013,1,1
300000.0,1,2013,1,0
18478604.03736397,1,2005,1,1
5010000.0,4,2012,1,1
1000000.0,2,2012,1,0
2000000.0,1,2009,1,1
93808.0,1,2014,1,0
37500.0,1,2012,1,0
25000.0,1,2010,1,0
50000.0,1,2015,1,0
18478604.03736397,1,2010,1,1
50000.0,1,2011,1,0
18478604.03736397,1,2012,1,1
79000000.0,5,2002,2,1
300000000.0,1,2012,1,2
37570000.0,4,2000,1,1
3000000.0,1,2006,1,1
100000.0,1,2012,0,0
120000000.0,1,2008,1,2
6000000.0,1,2008,2,1
22300000.0,3,2010,1,1
34722866.0,2,2004,2,1
1674801.38667086,2,2014,1,1
21214500.0,1,2012,1,1
75000.0,1,2013,1,0
18478604.03736397,1,2012,1,1
20000.0,2,2013,1,0
266000000.0,3,2006,1,2
4575400.0,2,2012,2,1
2925000.0,3,2011,1,1
50000.0,1,2012,1,0
30000.0,1,2014,1,0
5000000.0,1,2004,0,1
14732412.0,3,2011,1,1
1500000.0,1,2011,1,1
2401536.0,3,2009,2,1
1100000.0,3,2007,0,1
716666.0,2,2012,1,0
60000.0,3,2012,1,0
18478604.03736397,1,2003,1,1
2378808.0,1,2012,1,1
18478604.03736397,1,2013,1,1
2445000.0,2,2012,1,1
170000.0,2,2015,1,0
435413.0,1,2009,1,0
2250000.0,2,2014,1,1
20500000.0,5,2011,1,1
750000.0,1,2015,0,0
25000.0,1,2010,0,0
18478604.03736397,1,2013,1,1
150000.0,1,1986,2,0
6000000.0,1,2014,0,1
51954587.0,6,2005,2,1
18478604.03736397,1,1987,2,1
46543600.0,4,2012,1,1
18478604.03736397,1,2010,2,1
161500000.0,6,2007,1,2
8500000.0,1,2012,1,1
30000.0,1,2014,1,0
10028500.0,11,2010,1,1
4500000.0,1,2012,0,1
12273.0,1,2012,1,0
1050000.0,2,2012,1,1
300000.0,1,2012,1,0
600000.0,2,2009,1,0
300000.0,1,2012,1,0
116900000.0,5,2007,1,2
18478604.03736397,1,2012,1,1
65864387.0,5,2012,1,1
5000000.0,1,2008,1,1
18478604.03736397,1,2012,0,1
950000.0,2,2012,1,0
99661.1520829181,1,2014,1,0
65000.0,2,2012,1,0
5000000.0,1,1999,1,1
86928000.0,1,2012,1,1
7200000.0,2,2012,1,1
925249.0,1,2000,1,0
20000000.0,1,2012,2,1
55000.0,1,2010,1,0
4246029.0,4,2007,1,1
22585000.0,2,2004,2,1
1000000.0,1,2014,1,0
11500000.0,1,2001,1,1
680000.0,1,2010,1,0
25000000.0,1,2013,1,1
37400000.0,3,2007,1,1
3600000.0,1,2003,1,1
68396.0,1,2013,1,0
2440000.0,2,2014,1,1
2300000.0,1,2007,0,1
18478604.03736397,1,2015,1,1
24158698.0,5,2009,1,1
600000.0,1,2012,1,0
18478604.03736397,1,2012,1,1
64396675.0,5,2011,2,1
3039567.0,7,1996,1,1
400000.0,1,2013,1,0
465326.0,1,2012,1,0
4000000.0,1,2012,1,1
1300000.0,1,2012,1,1
800000.0,2,2012,1,0
725000.0,2,2012,1,0
73000.0,1,2014,1,0
1000000.0,1,2015,1,0
1300000.0,3,2010,1,1
2150000.0,2,2013,1,1
18478604.03736397,2,2008,1,1
20000000.0,1,2012,1,1
5180000.0,3,2011,1,1
14394888.0,1,2012,1,1
18478604.03736397,1,1995,2,1
40000.0,1,2014,1,0
5930000.0,2,2008,1,1
18478604.03736397,1,2014,1,1
470000.0,1,2015,1,0
78950000.0,4,2013,1,1
97000.0,1,1953,1,0
7112900.0,3,2011,1,1
323834120.0,6,2001,2,2
18000.0,1,2012,1,0
475000.0,1,2004,1,0
4817324.0,2,2010,1,1
213000.0,1,2012,0,0
24000000.0,1,2012,1,1
18478604.03736397,1,2012,1,1
695000.0,1,2010,1,0
6850000.0,1,2012,0,1
2200000.0,2,2007,1,1
18478604.03736397,1,2009,1,1
18478604.03736397,1,2011,1,1
5650000.0,1,2012,2,1
18478604.03736397,1,2012,1,1
90000000.0,2,2006,2,1
200000.0,3,2013,1,0
32902115.0,6,2004,1,1
188777.0,2,2012,1,0
805000.0,1,2012,2,0
150000.0,1,2009,1,0
100000.0,1,2013,1,0
14415734.0,2,2011,1,1
15000000.0,1,2012,0,1
10000000.0,1,2012,1,1
5624176.0,4,2009,1,1
18478604.03736397,1,2001,1,1
437000.0,5,2011,1,0
916955.0,1,2012,1,0
675000.0,3,2009,1,0
18478604.03736397,6,2012,1,1
2000000.0,1,2006,1,1
2338650.0,1,2010,1,1
18478604.03736397,1,2013,1,1
1700000.0,1,2013,1,1
18478604.03736397,1,2014,1,1
5893231.0,5,1983,1,1
91204041.0,3,2005,1,1
8063806.0,3,2007,1,1
18478604.03736397,1,2012,0,1
100000.0,1,2012,1,0
1925000.0,1,2004,1,1
7000000.0,1,2012,1,1
300000.0,1,2015,1,0
25000.0,1,2010,1,0
1000000.0,1,2014,1,0
4329819.0,4,2013,1,1
30000.0,1,2015,1,0
20000000.0,1,2010,1,1
13500000.0,2,2000,1,1
50000.0,2,2013,1,0
400000.0,1,2009,1,0
60000.0,1,2006,1,0
550000.0,1,2015,1,0
36000000.0,4,2012,1,1
18478604.03736397,1,2012,1,1
150000.0,1,2012,1,0
600000.0,1,2006,1,0
28000000.0,2,2000,1,1
19000000.0,2,2000,1,1
28400000.0,4,2010,1,1
2897233.0,3,2007,1,1
140000.0,1,2012,1,0
145540487.0,6,2002,2,2
18478604.03736397,1,2010,1,1
50000000.0,1,2012,1,1
122000.0,1,2009,1,0
2490000.0,2,2012,1,1
658543.0,2,2007,1,0
1000000.0,1,2012,1,0
8750000.0,1,2005,1,1
12000000.0,4,2002,2,1
110000.0,1,2012,1,0
30000000.0,1,2015,1,1
25200000.0,1,1999,1,1
18478604.03736397,1,2012,1,1
128310709.0,7,2012,1,2
30000.0,1,2013,1,0
3328660.0,2,2012,1,1
641000.0,1,2005,1,0
29214350.0,1,2012,0,1
326300.0,1,2012,1,0
18478604.03736397,1,2012,1,1
321239.0,2,2012,1,0
18478604.03736397,1,2006,2,1
24600000.0,4,2000,2,1
775000.0,1,1880,1,0
2935000.0,2,2005,1,1
9150000.0,6,2007,1,1
588174854.0,9,1999,1,2
18478604.03736397,1,2012,1,1
1000000.0,1,2012,1,0
1070000.0,1,1997,1,1
25000.0,1,2012,1,0
9900000.0,2,2004,2,1
18478604.03736397,1,2015,1,1
190000.0,3,2012,1,0
5300000.0,1,2015,1,1
18478604.03736397,1,2013,1,1
35000000.0,2,2002,1,1
240000.0,1,2012,1,0
18478604.03736397,1,2012,1,1
22000039.0,2,2002,1,1
18478604.03736397,1,2014,1,1
3051073.0,1,2007,1,1
5600000.0,3,2010,0,1
18478604.03736397,1,2005,0,1
250000.0,1,2015,0,0
3268019.0,2,2013,1,1
5825000.0,3,2012,1,1
3180659.0,1,2012,2,1
2043101.0,1,2003,1,1
18478604.03736397,1,2014,1,1
405528.0,1,2010,0,0
71950000.0,4,2004,1,1
1000000.0,2,2012,1,0
19460986.0,9,2000,0,1
18478604.03736397,1,2009,0,1
50000000.0,3,2010,1,1
18478604.03736397,1,2014,1,1
18478604.03736397,1,2012,0,1
4000000.0,1,2008,0,1
9000000.0,3,2006,2,1
250000.0,1,2009,1,0
2545000.0,1,2008,0,1
200000.0,1,2012,1,0
4500000.0,1,2000,2,1
265064.0,1,2012,1,0
3000000.0,2,2012,1,1
10025000.0,5,2012,2,1
4400000.0,2,2012,1,1
4800000.0,2,2013,1,1
120000.0,2,2013,1,0
2624000.0,2,2007,0,1
2192000.0,2,2005,0,1
1200000.0,2,2012,1,1
6072500.0,3,2008,1,1
12500000.0,4,2012,1,1
35000000.0,1,2013,1,1
2204719.20145071,1,2012,0,1
2225000.0,3,2009,1,1
18478604.03736397,1,2013,1,1
49000000.0,2,2012,1,1
300000.0,1,2009,1,0
30000.0,1,2008,1,0
6772388.0,1,1973,1,1
15000.0,1,2012,1,0
8731646.0,2,2012,1,1
18478604.03736397,1,2012,1,1
250000.0,1,2012,1,0
10023448.0,4,2009,2,1
20000000.0,1,2006,2,1
11632000.0,2,2011,1,1
5000000.0,1,2005,1,1
251000000.0,1,2008,2,2
18478604.03736397,1,2012,1,1
2000000.0,1,2011,1,1
18478604.03736397,1,2015,1,1
18478604.03736397,1,2012,0,1
1500000.0,2,2010,1,1
250000.0,1,2012,1,0
6080000.0,3,2011,2,1
1000000.0,1,2012,2,0
515000.0,2,2013,1,0
18300000.0,1,2013,1,1
100000.0,1,2009,1,0
18478604.03736397,1,2010,0,1
275166.0,1,2011,1,0
18478604.03736397,1,2012,1,1
5740000.0,1,2012,1,1
4200000.0,1,2013,1,1
4099999.0,1,2014,1,1
22000000.0,2,1992,1,1
176097.0,1,2012,1,0
6500000.0,2,2011,1,1
18478604.03736397,1,2007,1,1
6586383.0,3,2008,0,1
18478604.03736397,1,2012,1,1
18478604.03736397,1,2008,0,1
11185748.0,2,2001,1,1
7000000.0,3,2012,1,1
6500000.0,2,2012,1,1
3882595.0,3,2011,0,1
18478604.03736397,1,2001,1,1
4225311.0,2,1999,2,1
625000.0,1,2005,2,0
4545754.0,1,2012,1,1
1680000.0,2,2002,1,1
77000.0,2,2014,1,0
20000.0,1,2014,1,0
25849354.5253743,3,2011,2,1
106000000.0,6,2004,1,2
6000000.0,2,2011,2,1
18478604.03736397,1,2006,1,1
2752400.0,1,2002,1,1
25000000.0,2,2000,2,1
11168660.0,3,2005,1,1
18478604.03736397,1,2011,1,1
18478604.03736397,1,2012,1,1
138756.0,1,2010,1,0
18478604.03736397,1,2011,1,1
18478604.03736397,1,2012,1,1
1105001.0,1,2012,1,1
5000.0,1,2015,1,0
1500000.0,1,2010,1,1
17200000.0,4,2006,2,1
630000.0,1,2004,1,0
1000000.0,2,2011,2,0
7886000.0,5,2007,1,1
460000.0,1,2012,1,0
18478604.03736397,1,2003,1,1
4900000.0,1,2012,1,1
2030882.0,4,2008,2,1
18478604.03736397,1,2012,2,1
25000.0,1,2012,1,0
18478604.03736397,1,1997,2,1
2573200.0,1,2012,1,1
15000.0,1,2011,1,0
22056276.0,2,2013,1,1
18478604.03736397,1,2013,1,1
18478604.03736397,1,2012,1,1
4752585.0,2,2007,1,1
65118.0,2,2012,0,0
18478604.03736397,1,2011,1,1
5820000.0,3,2001,1,1
11121112.0,2,2012,2,1
23040630.0,4,2008,2,1
1715000.0,4,2010,1,1
10000000.0,1,2000,1,1
3750000.0,1,2012,1,1
96700000.0,10,2005,1,1
4527768.0,5,1998,1,1
144499999.0,6,2008,2,2
10488500.0,3,2007,1,1
40000000.0,1,2012,0,1
650000.0,1,2013,1,0
18478604.03736397,2,2009,1,1
25000.0,1,2011,1,0
8298202.0,5,2007,1,1
213264.0,1,2012,1,0
472459.0,1,2012,1,0
10600000.0,1,2002,1,1
330434.0,1,2013,1,0
1950000.0,2,2011,1,1
18478604.03736397,2,2012,1,1
32000000.0,1,2012,1,1
8000000.0,1,2011,1,1
1725000.0,2,2009,2,1
100000.0,1,2014,1,0
1020000.0,1,2010,1,1
50000.0,2,2013,1,0
5500000.0,1,2008,1,1
1595790.0,2,2008,0,1
16000000.0,4,2012,1,1
